2024-06-29 12:59:06.014 | ERROR   | _logging.py:63 [MainThread] - During handling of the above exception, another exception occurred:
2024-06-29 12:59:08.216 | ERROR   | _logging.py:63 [MainThread] - Traceback (most recent call last):
2024-06-29 12:59:10.169 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\loguru\_handler.py", line 177, in emit
2024-06-29 12:59:12.111 | ERROR   | _logging.py:63 [MainThread] -     self._sink.write(str_record)
2024-06-29 12:59:14.070 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\loguru\_simple_sinks.py", line 16, in write
2024-06-29 12:59:15.995 | ERROR   | _logging.py:63 [MainThread] -     self._stream.write(message)
2024-06-29 12:59:17.905 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 47, in write
2024-06-29 12:59:19.840 | ERROR   | _logging.py:63 [MainThread] -     self.__convertor.write(text)
2024-06-29 12:59:21.780 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 177, in write
2024-06-29 12:59:23.711 | ERROR   | _logging.py:63 [MainThread] -     self.write_and_convert(text)
2024-06-29 12:59:25.639 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 202, in write_and_convert
2024-06-29 12:59:27.561 | ERROR   | _logging.py:63 [MainThread] -     self.write_plain_text(text, cursor, start)
2024-06-29 12:59:29.507 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 211, in write_plain_text
2024-06-29 12:59:31.426 | ERROR   | _logging.py:63 [MainThread] -     self.wrapped.flush()
2024-06-29 12:59:33.359 | ERROR   | _logging.py:63 [MainThread] - OSError: [WinError 233] No process is on the other end of the pipe
2024-06-29 12:59:35.306 | ERROR   | _logging.py:63 [MainThread] - During handling of the above exception, another exception occurred:
2024-06-29 12:59:37.257 | ERROR   | _logging.py:63 [MainThread] - Traceback (most recent call last):
2024-06-29 12:59:39.179 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\loguru\_handler.py", line 177, in emit
2024-06-29 12:59:41.098 | ERROR   | _logging.py:63 [MainThread] -     self._sink.write(str_record)
2024-06-29 12:59:43.002 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\loguru\_simple_sinks.py", line 16, in write
2024-06-29 12:59:44.939 | ERROR   | _logging.py:63 [MainThread] -     self._stream.write(message)
2024-06-29 12:59:46.857 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 47, in write
2024-06-29 12:59:48.788 | ERROR   | _logging.py:63 [MainThread] -     self.__convertor.write(text)
2024-06-29 12:59:50.720 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 177, in write
2024-06-29 12:59:52.635 | ERROR   | _logging.py:63 [MainThread] -     self.write_and_convert(text)
2024-06-29 12:59:54.569 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 202, in write_and_convert
2024-06-29 12:59:56.509 | ERROR   | _logging.py:63 [MainThread] -     self.write_plain_text(text, cursor, start)
2024-06-29 12:59:58.427 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 211, in write_plain_text
2024-06-29 13:00:00.369 | ERROR   | _logging.py:63 [MainThread] -     self.wrapped.flush()
2024-06-29 13:00:02.292 | ERROR   | _logging.py:63 [MainThread] - OSError: [WinError 233] No process is on the other end of the pipe
2024-06-29 13:00:04.226 | ERROR   | _logging.py:63 [MainThread] - During handling of the above exception, another exception occurred:
2024-06-29 13:00:06.170 | ERROR   | _logging.py:63 [MainThread] - Traceback (most recent call last):
2024-06-29 13:00:08.146 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\loguru\_handler.py", line 177, in emit
2024-06-29 13:00:10.087 | ERROR   | _logging.py:63 [MainThread] -     self._sink.write(str_record)
2024-06-29 13:00:12.018 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\loguru\_simple_sinks.py", line 16, in write
2024-06-29 13:00:13.967 | ERROR   | _logging.py:63 [MainThread] -     self._stream.write(message)
2024-06-29 13:00:15.906 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 47, in write
2024-06-29 13:00:17.834 | ERROR   | _logging.py:63 [MainThread] -     self.__convertor.write(text)
2024-06-29 13:00:19.763 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 177, in write
2024-06-29 13:00:21.696 | ERROR   | _logging.py:63 [MainThread] -     self.write_and_convert(text)
